Thickness,Temp,STD
0.835951,22.09292,0.013838
0.835895,22.081996,0.014112
0.835894,22.061021,0.000624
0.835897,22.055529,0.001121
0.835897,22.062713,0.000836
0.835895,22.056041,0.000721
0.835895,22.056292,0.000327
0.835898,22.050885,0.001003
0.835895,22.045687,0.000675
0.835896,22.051039,0.000693
0.835892,22.062483,0.001161
0.835896,22.060334,0.001619
0.835892,22.057081,0.001498
0.835891,22.061624,0.000475
0.835894,22.065535,0.000999
0.835891,22.072555,0.001265
0.835893,22.063066,0.001174
0.835892,22.074422,0.00075
0.83589,22.081067,0.000812
0.835893,22.087635,0.000995
0.83589,22.103085,0.0016
0.835895,22.102427,0.002093
0.835891,22.100244,0.001308
0.835893,22.104692,0.000471
0.835893,22.108182,0.000558
0.835893,22.12054,0.000484
0.83589,22.124327,0.000998
0.83589,22.128762,0.000422
0.835892,22.125854,0.001262
0.83589,22.114195,0.000805
0.835889,22.117326,0.000517
0.835886,22.118339,0.000814
0.835888,22.117647,0.000703
0.835885,22.121748,0.000864
0.835882,22.114418,0.000944
0.835882,22.092461,0.000622
0.83588,22.073787,0.001399
0.835883,22.07219,0.000988
0.835877,22.079711,0.002221
0.835882,22.078485,0.002283
0.835876,22.080739,0.002132
0.835873,22.080173,0.000751
0.835876,22.078423,0.000889
0.835875,22.086398,0.000645
0.835874,22.086786,0.001153
0.835873,22.079552,0.000517
0.835872,22.070009,0.000464
0.83587,22.059011,0.00111
0.835871,22.056814,0.001144
0.835866,22.047018,0.002017
0.835869,22.046451,0.001607
0.835865,22.047787,0.001862
0.835867,22.055836,0.000585
0.835864,22.041865,0.000945
0.835861,22.021339,0.001326
0.835858,21.998059,0.000417
0.835859,21.985574,0.000601
0.835856,21.984572,0.001459
0.835854,21.972855,0.00093
0.835855,21.964233,0.000589
0.835853,21.941237,0.00086
0.835855,21.922153,0.001167
0.835855,21.902311,0.000677
0.835857,21.885707,0.000722
0.835855,21.860494,0.000562
0.835852,21.838821,0.001141
0.835854,21.818147,0.00064
0.835854,21.794711,0.000614
0.835848,21.779241,0.001872
0.835851,21.761445,0.001488
0.835852,21.7482,0.000751
0.83585,21.730663,0.000561
0.835847,21.717484,0.001109
0.835845,21.703632,0.00064
